,_tid_,elderly,adults,adolescents,children,female,male,healthy_volunteers,eudract_number,protocol_country_code
1782,1782,1.0,1.0,0.0,0.0,1.0,1.0,0.0,2013-000534-35,es
1783,1783,1.0,1.0,0.0,0.0,1.0,1.0,0.0,2009-017365-36,lt
1784,1784,0.0,0.0,1.0,0.0,1.0,1.0,0.0,2016-002265-60,de
1785,1785,1.0,1.0,0.0,0.0,1.0,1.0,0.0,2007-002315-92,cz
1786,1786,1.0,1.0,0.0,0.0,1.0,1.0,0.0,2015-003616-20,gb
1787,1787,0.0,0.0,1.0,0.0,1.0,1.0,0.0,2008-006955-28,it
1788,1788,1.0,1.0,0.0,0.0,1.0,0.0,0.0,2008-001916-18,it
1789,1789,1.0,1.0,_nan_,_nan_,1.0,1.0,0.0,2010-019895-66,de
1790,1790,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2008-004893-42,at
1791,1791,1.0,1.0,0.0,0.0,1.0,1.0,0.0,2015-004990-34,cz
1792,1792,1.0,1.0,0.0,0.0,1.0,1.0,0.0,2012-005848-21,es
1793,1793,0.0,0.0,1.0,1.0,1.0,1.0,1.0,2009-013672-45,de
1794,1794,1.0,1.0,0.0,0.0,1.0,1.0,0.0,2013-001682-16,at
1795,1795,1.0,1.0,_nan_,_nan_,1.0,1.0,0.0,2006-002727-16,at
1796,1796,0.0,1.0,1.0,0.0,0.0,1.0,0.0,2010-018477-38,es
1797,1797,1.0,1.0,0.0,0.0,1.0,1.0,0.0,2011-002067-20,cz
1798,1798,1.0,1.0,0.0,0.0,1.0,1.0,0.0,2016-003522-16,hu
1799,1799,1.0,1.0,_nan_,_nan_,1.0,1.0,0.0,2007-002630-11,de
1800,1800,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2017-001588-19,hu
1801,1801,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2008-008436-93,it
1802,1802,1.0,1.0,0.0,0.0,1.0,1.0,0.0,2007-005543-22,si
1803,1803,1.0,1.0,1.0,0.0,1.0,1.0,0.0,2017-002134-23,nl
1804,1804,1.0,1.0,0.0,0.0,1.0,0.0,0.0,2008-001727-65,de
1805,1805,1.0,1.0,0.0,0.0,1.0,1.0,0.0,2015-004550-18,de
1806,1806,0.0,1.0,0.0,0.0,1.0,1.0,1.0,2011-000475-14,de
1807,1807,1.0,1.0,_nan_,_nan_,1.0,1.0,0.0,2009-011520-53,sk
1808,1808,1.0,1.0,0.0,0.0,1.0,1.0,0.0,2012-003007-35,se
1809,1809,1.0,1.0,1.0,0.0,1.0,1.0,0.0,2012-000190-24,nl
1810,1810,1.0,1.0,0.0,0.0,1.0,1.0,0.0,2015-000904-24,at
1811,1811,1.0,1.0,0.0,0.0,1.0,1.0,0.0,2007-001972-36,hu
1812,1812,1.0,1.0,0.0,0.0,1.0,1.0,0.0,2017-003669-87,be
1813,1813,1.0,1.0,0.0,0.0,1.0,1.0,0.0,2010-022365-10,se
1814,1814,1.0,1.0,0.0,0.0,1.0,1.0,0.0,2007-003059-36,hu
1815,1815,0.0,1.0,1.0,0.0,1.0,1.0,0.0,2017-004133-82,gb
1816,1816,1.0,1.0,_nan_,_nan_,1.0,1.0,0.0,2007-005245-37,fr
1817,1817,1.0,1.0,_nan_,_nan_,1.0,1.0,0.0,2007-005838-37,se
1818,1818,1.0,1.0,0.0,0.0,1.0,1.0,0.0,2011-001752-10,hu
1819,1819,0.0,1.0,0.0,0.0,1.0,1.0,0.0,2008-005178-10,be
1820,1820,0.0,1.0,1.0,0.0,0.0,1.0,0.0,2016-002396-99,gb
1821,1821,1.0,1.0,1.0,0.0,1.0,1.0,0.0,2008-008314-40,gb
1822,1822,1.0,1.0,0.0,0.0,1.0,1.0,0.0,2007-004614-14,pt
1823,1823,1.0,1.0,_nan_,_nan_,1.0,1.0,0.0,2008-001933-84,dk
1824,1824,1.0,1.0,0.0,0.0,1.0,1.0,0.0,2011-002789-18,es
