"feature","chi2_score_milk","p_values_milk","sample_count_milk","correlation_to_milk"
"nüssen",71.41993613365764,3.099973059829967e-16,28,0.14767985240297352
"backtriebmittel",70.55622866061866,4.774299003449571e-16,20,0.06336730887845365
"sesam",70.3493314760013,5.294644033620318e-16,117,0.07611055585162033
"seigle",69.5238095238096,8.000121475482992e-16,4,0.07765789051362848
"orge",69.5238095238096,8.000121475482992e-16,4,0.07765789051362841
"sultaninen",69.5238095238096,8.000121475482992e-16,3,0.2971017888743661
"weinbeeren",69.5238095238096,8.000121475482992e-16,3,0.06336730887845365
"soja",66.77368958071385,3.164299185051833e-15,187,0.05988167366752562
"gefriergetrocknet",66.22768510389243,4.157582780305743e-15,6,0.06336730887845365
"weiße",65.01492537313443,7.624095620743359e-15,16,0.06336730887845365
"natriumhydrogencarbonat",62.66936824481051,2.4633129695812568e-14,14,0.06336730887845364
"sporen",60.76567608801451,6.38118143370023e-14,168,0.06336730887845364
"invertzuckersirup",59.476241574573564,1.2159010679443797e-13,8,0.06336730887845365
"roggenvollkornflocken",57.936507936508,2.6257123762860045e-13,5,0.1352686305416956
"süßlupinenmehl",57.936507936508,2.6257123762860045e-13,5,0.1476798524029735
"dinkelquellmehl",57.936507936508,2.6257123762860045e-13,3,0.14767985240297346
"vollei",57.936507936508,2.6257123762860045e-13,5,0.2339464109761619
"dinkelschrot",57.936507936508,2.6257123762860045e-13,3,0.07765789051362841
"marzipan",57.936507936508,2.6257123762860045e-13,7,0.18098458040843973
"anderen",57.905562224890026,2.666655582598649e-13,7,0.18098458040843973
"palmfett",56.79729271476433,4.641139191624191e-13,15,0.2771610771771205
"farine",56.18217657433356,6.312412428269177e-13,10,0.12189951557605935
"hafervollkornflocken",55.121651069435515,1.072717964217022e-12,19,0.11210012047856553
"dinkelmehl",55.05388440616729,1.1096880200991483e-12,24,0.1538083963307639
"natron",54.35096656343377,1.5770213310101738e-12,11,0.1476798524029735
"joghurt",54.17910447761203,1.718529317541779e-12,11,0.14767985240297343
"käse",54.17910447761203,1.718529317541779e-12,5,0.06336730887845365
"bourbonvanilleschote",54.17910447761203,1.718529317541779e-12,5,0.1476798524029735
"reismehl",51.457163296496205,6.702224375760272e-12,31,0.1476798524029735
"palmöl",50.244434092044905,1.2290223020396469e-11,12,0.06440813731296893
"e500ii",49.73268391933898,1.5873946117233028e-11,8,0.06336730887845365
"mandel",49.548347586685466,1.74065630621981e-11,52,0.06336730887845365
"extrait",49.240896358543495,2.029902665069985e-11,8,0.06336730887845365
"orangenschalen",49.240896358543495,2.029902665069985e-11,5,0.07765789051362841
"64",49.240896358543495,2.029902665069985e-11,8,0.1476798524029735
"weizenvollkornflocken",49.240896358543495,2.029902665069985e-11,8,0.06336730887845365
"weizenmehl",46.37585563397695,8.503758191401809e-11,23,0.14767985240297343
"flour",46.349206349206405,8.617825996904935e-11,2,0.013401547931481727
"hühnereieiweißpulver",46.349206349206405,8.617825996904935e-11,2,0.14767985240297343
"epeautre",46.349206349206405,8.617825996904935e-11,2,0.22262860166575044
"avoine",46.349206349206405,8.617825996904935e-11,2,0.07471583217093666
"geölt",46.349206349206405,8.617825996904935e-11,3,0.07471583217093665
"malte",46.349206349206405,8.617825996904935e-11,2,0.14767985240297343
"weinsäure",46.349206349206405,8.617825996904935e-11,2,0.11505995054937217
"glukosesirup",45.12666360076382,1.58806950309391e-10,15,0.14801389220364722
"b1",44.48146271443913,2.1926691084701612e-10,23,0.06336730887845364
"sahne",43.34328358208962,3.8736961892441125e-10,8,0.1476798524029735
"joghurtschokolade",43.34328358208962,3.8736961892441125e-10,4,0.20007228995245613
"gummi",43.34328358208962,3.8736961892441125e-10,4,0.06336730887845364
"cashewnuss",43.34328358208962,3.8736961892441125e-10,2,0.06336730887845365
"lait",43.34328358208962,3.8736961892441125e-10,4,0.19205424410419666
"magermilchjoghurtpulver",43.34328358208962,3.8736961892441125e-10,4,0.24949126187658216
"café",43.34328358208962,3.8736961892441125e-10,2,0.06336730887845364
"arabicum",43.34328358208962,3.8736961892441125e-10,4,0.11273705204108915
"dinkelvollkornflocken",43.195887973763384,4.1699620833967757e-10,9,0.14767985240297343
"entölt",43.14765458422184,4.2717502498260107e-10,11,0.3483272568212239
"stark",43.14765458422184,4.2717502498260107e-10,8,0.06336730887845364
"gerstenmalzextrakt",38.6381219154329,4.072287493274044e-09,7,0.15244631190729194
"graines",37.22801120448186,8.24214177836316e-09,6,0.1476798524029735
"erdnüssen",35.51858076563964,1.9374842654078037e-08,5,0.23301071155498815
"säuerungsmittel",35.51858076563964,1.9374842654078037e-08,5,0.18098458040843973
"59",35.456684829819224,1.998382951030033e-08,6,0.06336730887845365
"ungehärtet",35.456684829819224,1.998382951030033e-08,9,0.07367038168536592
"himbeeren",35.1713491366697,2.304828281980974e-08,19,0.06920389948046404
"backmittel",34.7619047619048,2.8284485986991185e-08,3,0.043375778997562196
"aprikosenstücke",34.7619047619048,2.8284485986991185e-08,3,0.0776578905136285
"aprikosen",34.7619047619048,2.8284485986991185e-08,5,0.0776578905136285
"backoblaten",34.7619047619048,2.8284485986991185e-08,3,0.1476798524029735
"mandelkrokant",34.7619047619048,2.8284485986991185e-08,3,0.14767985240297346
"liebstöckelpulver",34.7619047619048,2.8284485986991185e-08,3,0.14767985240297346
"gepofte",34.7619047619048,2.8284485986991185e-08,2,0.1476798524029735
"provence",34.7619047619048,2.8284485986991185e-08,3,0.06336730887845364
"gerstenvollkornflocken",34.7619047619048,2.8284485986991185e-08,3,0.034710692511257316
"cornflakes",34.7619047619048,2.8284485986991185e-08,3,0.06336730887845365
"zuckerrübensirup",34.7619047619048,2.8284485986991185e-08,3,0.05906783773162553
