"feature","chi2_score_peanut","p_values_peanut","sample_count_peanut","correlation_to_peanut"
"complete",14.608695652173838,0.0006726080258952642,2,-0.14578900997177255
"ecreme",14.608695652173838,0.0006726080258952642,2,0.09589915141336566
"milchsäure",14.608695652173838,0.0006726080258952642,2,0.057316283299350373
"mianuss",14.608695652173838,0.0006726080258952642,15,0.08766754027583297
"com",14.608695652173838,0.0006726080258952642,42,0.07827199740846104
"ab",14.608695652173838,0.0006726080258952642,119,0.07827199740846104
"melk",13.933884506944839,0.0009425305235166838,304,0.07827199740846102
"100",13.59455388930822,0.001116812152304253,36,-0.10366221831146773
"weinsäure",13.476149068322844,0.0011849264970065498,5,0.07827199740846104
"geölt",12.668819875776213,0.001774192413518711,12,0.06191429567510799
"83",12.650568561872909,0.0017904571853406019,14,0.07827199740846098
