"feature","chi2_score_gluten","p_values_gluten","sample_count_gluten","correlation_to_gluten"
"weizengrieß",21.21686746987948,2.470675833537638e-05,10,0.01803876402840974
"hafer",21.21686746987948,2.470675833537638e-05,13,0.08337931200641564
"milchpulver",21.21686746987948,2.470675833537638e-05,29,0.1819492086804883
"paniermehl",21.21686746987948,2.470675833537638e-05,3,0.11827185950700111
"saft",21.21686746987948,2.470675833537638e-05,139,0.2380964811496394
"ungehärtetes",21.21686746987948,2.470675833537638e-05,3,0.2607846577514822
"puderzucker",21.21686746987948,2.470675833537638e-05,3,0.1405317224645704
"zuckerrübensirup",21.21686746987948,2.470675833537638e-05,3,0.22270080262758227
"schwach",21.21686746987948,2.470675833537638e-05,3,0.05886975017379664
"dinkel",21.21686746987948,2.470675833537638e-05,30,0.10546183780954071
"hirse",21.21686746987948,2.470675833537638e-05,9,0.1490994660713163
"liebstöckelpulver",21.21686746987948,2.470675833537638e-05,3,0.34794234809457547
"urweizenart",21.21686746987948,2.470675833537638e-05,3,0.09970073631918355
"ricotta",21.21686746987948,2.470675833537638e-05,3,0.15527470973819638
"provence",21.21686746987948,2.470675833537638e-05,3,0.2240601584559269
"38",21.06807441781254,2.6614956948496688e-05,5,0.172244480152119
"vanilleextrakt",21.06807441781254,2.6614956948496688e-05,6,0.14053172246457038
"épices",20.954233896717536,2.8173832161428402e-05,6,0.1405317224645704
"himbeeren",20.675752986707025,3.2383015248160304e-05,19,0.14053172246457038
"karotten",19.854431861722404,4.88275463067614e-05,21,0.31324615015629587
"meersalz",19.588069254976887,5.578337748511191e-05,133,0.172244480152119
"tamari",18.55761739537649,9.338230378148766e-05,8,0.22361236192492603
"salz",18.426496157944896,9.970965162893712e-05,168,0.06740900270340512
"erdnuss",18.426496157944896,9.970965162893712e-05,6,0.29424549291447144
"hergestellt",18.39084117050395,0.00010150316423371233,6,0.14053172246457035
"geröstet",18.39084117050395,0.00010150316423371233,6,0.29580264069231016
