"feature","chi2_score_healthy_volunteers","p_values_healthy_volunteers","sample_count_healthy_volunteers","correlation_to_healthy_volunteers"
"speakers",15.674638878493477,7.522612782527348e-05,1,0.05059323877566505
"hm",15.563883226767544,7.976376281558144e-05,757,0.06997586755316565
"nacidos",15.41489249523273,8.630543824007447e-05,3,0.05059323877566506
"gbs",15.359228622968384,8.888570090805974e-05,1,0.2399477482414619
"personality",15.2455928817068,9.439676690293583e-05,2,0.05059323877566505
"algemene",15.079215803765615,0.00010309214804703815,1,0.12328286360107067
"populatie",15.079215803765615,0.00010309214804703815,1,0.12049050002601835
"biologicals",15.00182214839851,0.00010740741706545396,1,0.08003447103158921
"workers",14.9464578526156,0.00011060551396863122,4,0.09805359143373717
"completion",14.927840717195172,0.00011170232069960059,1062,0.05059323877566505
"given",14.926095383883737,0.000111805704556401,985,0.127861962580707
"tays",14.792320046491042,0.0001200233100482498,5,0.08531568650356271
"campaign",14.764281631406906,0.00012182130351175033,2,0.18893108926467758
"fsme",14.744459224540343,0.0001231087741193449,1,0.07075139685989511
"immun",14.744459224540343,0.0001231087741193449,1202,0.06212804945524033
"study",14.722743581302801,0.00012453493941519915,8838,0.07155222368947818
"hemagglutination",14.664452349509448,0.00012844598287344215,1,0.06606876461262007
"brisbane",14.664452349509448,0.00012844598287344215,1,0.08761920609510998
"nulliparous",14.654721571913221,0.00012911080945612421,14,0.08639735423527882
"menstrual",14.634837002541772,0.0001304801563533035,286,0.06861406854686626
"trimester",14.59995316129179,0.00013291784760192287,6,0.11029777873606036
"communities",14.589842410184398,0.00013363292277976995,1,0.1206068726289804
"undetermined",14.347371434928277,0.00015199174847452203,22,0.09492009586483044
"hotel",14.056743917045189,0.00017737662414096035,2,0.08707758890381144
"sanquin",14.051294186486984,0.00017789137078246732,2,0.1548959016565324
"chmi",14.049202644765083,0.0001780893237156987,1,0.05059323877566506
"kaukasiske",13.896371858759766,0.00019317099937230634,1,0.07123690112571106
"problems",13.864511501981132,0.00019647366623500294,17,0.05059323877566506
"rolled",13.836492565154536,0.00019942511179982397,1736,0.08321861768296605
"dtp",13.776054258683493,0.00020594453414864974,15,0.04824754929091616
"ciu",13.728496059502959,0.00021122523378117335,231,0.08614940587096336
"land",13.693391438289941,0.0002152104652750909,136,0.07155222368947818
"pay",13.693391438289941,0.0002152104652750909,9,0.05059323877566506
"rubella",13.619358402731093,0.00022386517679640305,5,0.09608532179229425
"children",13.592447762910389,0.00022709731482114295,583,0.07155136731011655
"serogroups",13.420151929791983,0.000248935536993494,4,0.05938533689744084
"argininosuccinate",13.412219674822044,0.00024999042122361405,1,0.2068530596694554
"postvaccination",13.343176228766435,0.0002593646766434032,2,0.22839182910692526
"partum",13.292645357398712,0.0002664492662824335,9,0.08698347877364597
"revaccination",13.284264192923139,0.0002676430516958814,2,0.09617478326496594
"pletion",13.284264192923139,0.0002676430516958814,1068,0.050593238775665066
"fabrazyme",13.171999471843046,0.0002841633693009589,1,0.09990870622835632
"phone",13.16414595972021,0.0002853568146699192,175,0.16234678648724885
"anesthesiology",13.163757520833675,0.000285415974078815,1,0.11711458163623946
"protect",13.140748094923662,0.00028894246821584716,276,0.12394996121534474
"nega",13.102703961549151,0.0002948698559167937,3968,0.06558771573357457
"tive",13.102703961549151,0.0002948698559167937,9340,0.0498910107980201
