"feature","chi2_score_nuts","p_values_nuts","sample_count_nuts","correlation_to_nuts"
"apfelpulver",16.830188679245303,0.00022149858879619527,1,0.07472557155050895
"lupinemeel",16.830188679245303,0.00022149858879619527,1,0.11190481661984682
"schokoladenglasur",16.830188679245303,0.00022149858879619527,1,0.0702703142148265
"pecannoten",16.830188679245303,0.00022149858879619527,1,0.12197071595642636
"erdmandeln",16.830188679245303,0.00022149858879619527,1,0.1583411987413663
"geplet",16.830188679245303,0.00022149858879619527,1,0.0702703142148265
"schalenfrüchten",16.830188679245303,0.00022149858879619527,1,0.08610887593639942
"getrocknete",16.830188679245303,0.00022149858879619527,2,0.07027031421482645
"tijgernoten",16.830188679245303,0.00022149858879619527,1,0.06050972617345773
"leinsaat",16.830188679245303,0.00022149858879619527,1,0.0702703142148265
"getrocknetes",16.830188679245303,0.00022149858879619527,1,0.33667666802279816
"gemahlene",16.830188679245303,0.00022149858879619527,1,0.1729266516676656
"bruin",16.830188679245303,0.00022149858879619527,1,0.07027031421482657
"kandierte",16.830188679245303,0.00022149858879619527,1,0.14546149421081517
"ont",16.830188679245303,0.00022149858879619527,35,0.10554547068175385
"rosinen",16.830188679245303,0.00022149858879619527,1,0.19299528049158007
"milch",16.438378835577275,0.00026943337431521,114,0.1583411987413664
"44",16.333479116553715,0.0002839422861384812,18,0.05285504557855163
"ist",16.057298994508418,0.00032598815968096006,36,0.09681367449552951
"eine",16.057298994508418,0.00032598815968096006,66,0.07027031421482645
"56",15.948567679860057,0.0003442013197537229,5,0.3967422102135681
"vollei",15.71834888125136,0.00038619256469589713,11,0.19735461451850267
"anbau",15.71834888125136,0.00038619256469589713,8,0.2504812261855767
"volkoren",15.599544496202144,0.00040982830752677997,27,0.3190270349817805
"zitronensaftkonzentrat",15.21933085501837,0.0004956376574655726,87,0.08610887593639942
"contenir",15.001192396717435,0.0005527547204321936,4,0.15834119874136637
"84",15.001192396717435,0.0005527547204321936,4,0.0861088759363994
"émulsifiant",15.001192396717435,0.0005527547204321936,4,0.0702703142148265
"hühnereiweiß",15.001192396717435,0.0005527547204321936,3,0.14728236583658855
"lécithine",15.001192396717435,0.0005527547204321936,4,0.14561807525739806
"gepofte",15.001192396717435,0.0005527547204321936,3,0.1583411987413663
"speltvlokken",14.428837846424273,0.0007358980828502295,6,0.23690925093843584
"¹dinkel",14.165426715843678,0.0008394922124352232,13,0.0710147802451873
"traces",14.079226303693993,0.0008764655557659276,6,0.17292665166766558
"des",14.079226303693993,0.0008764655557659276,17,0.07027031421482645
"peut",14.079226303693993,0.0008764655557659276,6,0.07027031421482645
"heidelbeeren",14.01749398644218,0.0009039405226900069,9,0.24981656229446134
"maisstärke",13.965367726591818,0.0009278097441321676,38,0.16084368724215595
"hefe",13.911832169393936,0.0009529805300401781,67,-0.1216515135933402
"ruwe",13.223887955968024,0.0013442164805903864,11,0.19403047773997661
"60",13.146140801835267,0.0013974999329442977,28,0.19403047773997673
"guarkernmehl",12.736106999003173,0.0017154951900263985,26,0.1583411987413663
"geschild",12.473917869034423,0.0019557941865278703,2,0.19299528049158007
"haferflocken",12.473917869034423,0.0019557941865278703,2,0.07596649318492013
"oblaten",12.473917869034423,0.0019557941865278703,5,0.0702703142148265
"amandelen",12.473917869034423,0.0019557941865278703,2,0.17292665166766547
"lecithine",12.473917869034423,0.0019557941865278703,3,0.09948278344942837
"geschält",12.473917869034423,0.0019557941865278703,2,0.07101478024518734
