"feature","chi2_score_eggs","p_values_eggs","sample_count_eggs","correlation_to_eggs"
"weekdieren",100.86274509803913,1.2529484036945457e-22,4,0.117083788011256
"origan",100.86274509803913,1.2529484036945457e-22,4,0.16852346199627613
"sucre",100.83914992925759,1.2678177066904254e-22,52,0.10335007698693206
"monokaliumtartrat",91.03228387226625,1.7084045507781158e-20,11,0.04621986956465108
"weizenmehl",89.16221994948988,4.351810150675379e-20,38,0.06367765294687223
"säuerungsmittel",86.1566941869066,1.955742024175401e-19,14,0.10335007698693206
"dinkelschrot",85.33783783783782,2.9452622075677765e-19,3,0.10362605893877351
"magermilchpulver",81.17919164067946,2.3559307057904452e-18,15,0.16564348486641842
"32",79.98234336549693,4.28602611936206e-18,15,0.11961079547002575
"76",79.11082314113757,6.626787211890618e-18,5,0.04504986367851696
"clous",75.9535417770711,3.2129055784808294e-17,4,0.1036260589387733
"weizengrieß",75.64705882352935,3.7449833428946717e-17,13,0.1543200241185126
"pfirsiche",75.64705882352935,3.7449833428946717e-17,3,0.10895689048641613
"edamer",75.64705882352935,3.7449833428946717e-17,3,0.117083788011256
"hühnervolleipulver",75.64705882352935,3.7449833428946717e-17,3,0.1656434848664184
"backoblaten",75.64705882352935,3.7449833428946717e-17,3,0.20606536130005298
"senfsaaten",75.64705882352935,3.7449833428946717e-17,3,0.054417244948385984
"brokkoli",75.64705882352935,3.7449833428946717e-17,3,0.07698642351077331
"puderzucker",75.64705882352935,3.7449833428946717e-17,3,0.07698642351077331
"zuckerglasur",75.64705882352935,3.7449833428946717e-17,3,0.04934251320731421
"sel",74.83448751999265,5.622086289468817e-17,237,0.14993060415698625
"épeautre",74.1900727953431,7.759440128686946e-17,34,0.07698642351077334
"ungehärtet",72.76861044610013,1.5794177474594992e-16,22,0.20294703293370978
"champignons",72.2412806224977,2.0559153542959304e-16,10,0.34383993014575687
"canne",70.10753199326233,5.975068076287362e-16,50,0.07698642351077334
"cumin",68.27027027027025,1.4972667208021187e-15,4,0.04621986956465107
"malte",68.27027027027025,1.4972667208021187e-15,2,0.07698642351077334
"bio7",68.27027027027025,1.4972667208021187e-15,2,0.08228157953275955
