"feature","chi2_score_nuts","p_values_nuts","sample_count_nuts","correlation_to_nuts"
"картофи",14.924050632911335,0.0005744914654176668,2,0.08365002487113847
"kartoffestärke",14.924050632911335,0.0005744914654176668,2,0.2103352643733055
"земеделие",14.924050632911335,0.0005744914654176668,2,0.08365002487113837
"glucose",14.901524665233953,0.0005809985291976806,15,0.1024883312864322
"dinkelmehl",14.77202869054166,0.0006198615909372192,43,0.08091718283509355
"kartoffelstärke",14.678031686465317,0.0006496896028334748,29,-0.0693060276617466
"spelt",14.48979591836723,0.0007138069865120095,39,0.03448490749985165
"dinkelschrot",14.48979591836723,0.0007138069865120095,3,0.08942163384034116
"pecannuss",14.48979591836723,0.0007138069865120095,5,0.08365002487113847
"extrudiert",14.48979591836723,0.0007138069865120095,5,0.13745190137899396
"extrudaat",14.48979591836723,0.0007138069865120095,5,0.0836500248711385
"johannisbeeren",14.48979591836723,0.0007138069865120095,5,0.08365002487113847
"gerstenflakes",14.48979591836723,0.0007138069865120095,3,0.15009533398550573
"ammoniumhydrogencarbonat",14.48979591836723,0.0007138069865120095,5,0.10439809815307108
"kokosmehl",14.48979591836723,0.0007138069865120095,5,-0.09953765423953513
"chips",14.48979591836723,0.0007138069865120095,5,-0.1462802142372462
"überzug",14.48979591836723,0.0007138069865120095,12,0.10248833128643227
"roggenvollkornflocken",14.48319173061537,0.0007161679400906588,11,0.10248833128643238
"vanille",14.47971652170014,0.0007174134384741586,87,0.08365002487113847
"45",14.445926477913387,0.0007296371231729557,19,0.09726799159579967
"apfelstücke",14.25550798981423,0.0008025198284574835,9,0.08365002487113847
"marin",14.087162093957168,0.0008729947228584843,74,0.08365002487113851
"senf",14.045518903516635,0.0008913624244431783,46,0.09975764553324896
"51",13.812499061938114,0.0010015068822208254,9,0.042472596433068104
"schokolade",13.771828984758315,0.0010220810425206233,47,0.11476823734099481
"vanillestokjes",13.70090092999211,0.0010589785526786376,8,0.04455323490200793
"amaranth",13.593949644541745,0.0011171496172286215,17,0.11291987424634815
"gepufft",13.437416740578314,0.0012080976214341723,18,0.08365002487113846
"monokaliumtartrat",13.432500922250002,0.0012110706678913972,11,0.08365002487113846
"cornflakes",13.350012916558939,0.0012620644350534642,5,0.08365002487113846
"zwaar",13.350012916558939,0.0012620644350534642,5,0.08365002487113846
"kakaobohnensplitter",13.350012916558939,0.0012620644350534642,5,0.08365002487113846
"apfelfaser",13.350012916558939,0.0012620644350534642,5,0.08365002487113846
"natriumwaterstofcarbonaat",13.275116129842099,0.0013102228196186078,7,0.08365002487113846
