"feature","chi2_score_gluten","p_values_gluten","sample_count_gluten","correlation_to_gluten"
"blé",67.59124087591229,2.1025606455729574e-15,22,0.012989443728071945
"sesam",67.09320203209177,2.6970952993890225e-15,344,0.018383623153515452
"ei",66.08337739045396,4.468656033111827e-15,472,-0.01438634098927344
"enthalten",62.87630619210236,2.2211791552023054e-14,217,0.1287180570568361
"und",62.56273348764189,2.5982147071948105e-14,224,0.08591629675791765
"eine",60.83211678832106,6.17267879225489e-14,86,0.09636915557114097
"ist",60.83211678832106,6.17267879225489e-14,61,0.2266692439094372
"dinkelvollkornflocken",60.83211678832106,6.17267879225489e-14,27,0.09636915557114098
"hefe",60.66008930242477,6.727116860177133e-14,77,0.018383623153515445
"spuren",59.99014703628819,9.403836871117632e-14,210,0.012989443728071943
"kann",58.863365847676924,1.6518952830148329e-13,217,0.05540191805091754
"curcuma",57.476635514018604,3.3045108255098995e-13,5,0.1245994125153202
"nougat",57.476635514018604,3.3045108255098995e-13,5,0.17491587714165802
"gerstenmalzmehl",56.32603406326023,5.874313354045064e-13,25,0.004993904887287885
"nüssen",56.039626449435666,6.77875179658338e-13,107,0.1200542443027016
"levure",54.07299270072984,1.812169534922973e-12,26,0.012989443728071941
"speltmeel",54.07299270072984,1.812169534922973e-12,22,0.10519254031138589
"allergenen",53.617095037301084,2.2761230917161226e-12,422,0.05129137279394527
"von",52.44386585284499,4.0922223711189436e-12,215,0.03422444894048799
"weizenvollkornflocken",51.81995133819943,5.590369844743875e-12,23,0.04260294244284254
"pâte",49.978588208071535,1.403742548673638e-11,24,0.10919286533585688
"812",49.56690997566902,1.7245756756610546e-11,22,0.09744928151539899
"dinkel",47.31386861313861,5.32015115936939e-11,100,0.01298944372807194
"cacaoboter",47.134695014543794,5.818767768274815e-11,15,0.09001084679487793
"melk",46.32428077797733,8.725900168537875e-11,304,0.012989443728071941
"fr",46.31852843643961,8.751033474047991e-11,222,0.07343577511584633
"berglinsen",45.98130841121489,1.0358234604368846e-10,4,0.04630552562127655
"joghurtschokolade",45.98130841121489,1.0358234604368846e-10,4,0.0745800175214073
"marzipanrohmasse",45.98130841121489,1.0358234604368846e-10,4,0.07458001752140729
"aprikose",45.98130841121489,1.0358234604368846e-10,7,0.10485726853806317
"arabicum",45.98130841121489,1.0358234604368846e-10,4,0.1300628547902985
"rosenwasser",45.98130841121489,1.0358234604368846e-10,4,0.13254720889662333
"sahnepulver",45.98130841121489,1.0358234604368846e-10,4,0.111361214603816
"gummi",45.98130841121489,1.0358234604368846e-10,4,0.012989443728071941
"reisextrudat",45.0608272506082,1.6412157934264118e-10,20,0.012989443728071941
"zitronensaftkonzentrat",45.024585302642436,1.671227319929695e-10,93,0.020561229358083764
"honig",44.59103797264629,2.0757695317729033e-10,58,0.14140916297403103
"marin",44.30426681857167,2.3958007578863636e-10,74,0.14244177566920121
"natriumhydrogencarbonat",43.28289634129041,3.9924407445061984e-10,24,0.13612837557237673
"brut",43.19264557288942,4.176727910647746e-10,38,0.09636915557114097
"¹dinkel",42.80778588807779,5.062993888526206e-10,19,0.26164867855155943
"1050",42.80778588807779,5.062993888526206e-10,19,0.20606189543795234
"havervlokken",42.80778588807779,5.062993888526206e-10,19,0.22061445859481563
"sucre",42.56943591331972,5.70380201855768e-10,52,0.096369155571141
"bourbonvanilleextrakt",41.47031062663086,9.881809241704099e-10,10,0.09494244819866432
"meersalz",41.20670503935894,1.1273991213065902e-09,266,0.07993459216269921
"palmfett",40.71814835610431,1.4393500519632274e-09,50,0.21937957334052544
"weizenstärke",40.55474452554738,1.5618852327601058e-09,19,0.25204388601235184
"acide",40.55474452554738,1.5618852327601058e-09,12,0.2060618954379524
"sojaflocken",39.48504900288779,2.6664322302811224e-09,5,0.034445161209697185
